https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XRP,Volume USD
1482024840,2016-12-18 01:34:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482024780,2016-12-18 01:33:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482024720,2016-12-18 01:32:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482024660,2016-12-18 01:31:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482024600,2016-12-18 01:30:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482024540,2016-12-18 01:29:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482024480,2016-12-18 01:28:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482024420,2016-12-18 01:27:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482024360,2016-12-18 01:26:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482024300,2016-12-18 01:25:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482024240,2016-12-18 01:24:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482024180,2016-12-18 01:23:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482024120,2016-12-18 01:22:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482024060,2016-12-18 01:21:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482024000,2016-12-18 01:20:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482023940,2016-12-18 01:19:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482023880,2016-12-18 01:18:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
1482023820,2016-12-18 01:17:00,XRP/USD,0.00750,0.00750,0.00750,0.00750,0.00000000,0.0
